[ AI-Rank-Log  4/ 8 12:54: 7.334 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 12:54:11.721 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 12:54:35.784 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.886 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.988 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36. 90 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.187 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.288 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.386 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.477 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.582 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.684 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.786 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.892 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:36.986 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37. 89 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.191 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.286 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.394 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.487 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.587 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.691 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.792 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.894 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:37.997 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:38.106 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:38.214 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:38.314 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:38.406 ]sampleid: 000000027620.jpg, result=true
